Genome,Pan,Core,Accessory
1,6399.7,6399.7,0.0
2,7630.3,4968.9,2661.4
3,8315.3,4783.4,3531.9
4,8796.1,4692.7,4103.4
5,9602.1,4473.7,5128.4
6,10010.0,4433.9,5576.1
7,10446.8,4386.6,6060.2
8,10790.3,4334.8,6455.5
9,11266.5,4303.8,6962.7
10,11546.3,4277.6,7268.7
11,11850.2,4254.4,7595.8
12,12088.4,4238.1,7850.3
13,12343.2,4227.7,8115.5
14,12828.8,4040.2,8788.6
15,13046.8,4030.0,9016.8
16,13902.9,3701.4,10201.5
17,14327.9,3646.7,10681.2
18,14493.7,3637.9,10855.8
19,14706.1,3617.7,11088.4
20,14921.3,3606.2,11315.1
21,15242.8,3594.5,11648.3
22,15446.2,3579.6,11866.6
23,15645.8,3570.6,12075.2
24,15887.7,3552.9,12334.8
25,16024.6,3517.7,12506.9
26,16223.2,3495.2,12728.0
27,16427.8,3481.2,12946.6
28,16569.1,3464.9,13104.2
29,16695.6,3457.2,13238.4
30,16876.2,3448.1,13428.1
31,17080.3,3440.7,13639.6
32,17248.0,3421.9,13826.1
33,17415.4,3416.3,13999.1
34,17575.8,3409.0,14166.8
35,17758.5,3399.3,14359.2
36,17928.8,3385.9,14542.9
37,18089.0,3377.1,14711.9
38,18278.3,3374.1,14904.2
39,18435.9,3366.8,15069.1
40,18676.1,3345.2,15330.9
41,18796.1,3329.3,15466.8
42,18996.1,3325.6,15670.5
43,19174.7,3316.9,15857.8
44,19295.5,3309.1,15986.4
45,19415.4,3296.1,16119.3
46,19599.5,3288.2,16311.3
47,19713.1,3278.7,16434.4
48,19824.2,3260.4,16563.8
49,20030.9,3249.9,16781.0
50,20158.8,3243.0,16915.8
51,20286.7,3238.3,17048.4
52,20453.0,3232.0,17221.0
53,20548.7,3224.0,17324.7
54,20725.5,3217.8,17507.7
55,20840.6,3207.4,17633.2
56,21201.5,3084.0,18117.5
57,21308.5,3077.6,18230.9
58,21475.3,3061.0,18414.3
59,21606.1,3057.7,18548.4
60,21727.0,3054.8,18672.2
61,21794.7,3044.6,18750.1
62,21947.5,3042.0,18905.5
63,22088.4,3022.2,19066.2
64,22218.8,3012.7,19206.1
65,22327.6,3010.2,19317.4
66,22488.6,3003.2,19485.4
67,22536.8,2996.9,19539.9
68,22623.9,2993.6,19630.3
69,22772.5,2988.3,19784.2
70,22869.1,2982.8,19886.3
71,22967.3,2973.8,19993.5
72,23079.1,2968.0,20111.1
73,23244.8,2961.6,20283.2
74,23347.3,2957.4,20389.9
75,23391.1,2956.3,20434.8
76,23545.8,2952.7,20593.1
77,23678.9,2945.5,20733.4
78,23766.9,2941.6,20825.3
79,23897.8,2931.1,20966.7
80,23979.0,2923.5,21055.5
81,24132.1,2919.9,21212.2
82,24277.5,2913.3,21364.2
83,24354.0,2903.5,21450.5
84,24513.8,2895.2,21618.6
85,24635.7,2892.2,21743.5
86,24711.3,2885.2,21826.1
87,24815.4,2882.0,21933.4
88,24910.7,2877.5,22033.2
89,25053.6,2868.7,22184.9
90,25144.0,2863.5,22280.5
91,25239.5,2860.3,22379.2
92,25370.7,2848.0,22522.7
93,25470.9,2844.0,22626.9
94,25544.8,2839.8,22705.0
95,25624.1,2838.9,22785.2
96,25783.3,2830.8,22952.5
97,25871.3,2825.3,23046.0
98,25973.5,2823.9,23149.6
99,26066.4,2820.0,23246.4
100,26220.4,2799.4,23421.0
101,26338.9,2796.8,23542.1
102,26475.1,2786.2,23688.9
103,26582.5,2782.9,23799.6
104,26641.1,2780.0,23861.1
105,26738.1,2772.0,23966.1
106,27064.6,2665.5,24399.1
107,27127.0,2664.2,24462.8
108,27204.3,2656.3,24548.0
109,27288.7,2652.2,24636.5
110,27354.0,2651.0,24703.0
111,27466.5,2645.7,24820.8
112,27522.7,2642.8,24879.9
113,27610.4,2640.6,24969.8
114,27704.7,2637.6,25067.1
115,28013.6,2537.9,25475.7
116,28085.5,2535.6,25549.9
117,28173.0,2529.6,25643.4
118,28247.4,2516.6,25730.8
119,28349.2,2501.9,25847.3
120,28419.7,2500.0,25919.7
121,28495.4,2490.5,26004.9
122,28532.8,2488.9,26043.9
123,28707.5,2474.7,26232.8
124,28802.5,2466.2,26336.3
125,28905.8,2460.9,26444.9
126,28987.3,2459.4,26527.9
127,29069.7,2454.2,26615.5
128,29153.2,2449.6,26703.6
129,29288.7,2446.6,26842.1
130,29365.2,2446.0,26919.2
131,29421.7,2442.7,26979.0
132,29479.8,2440.1,27039.7
133,29570.9,2433.8,27137.1
134,29665.3,2423.0,27242.3
135,29724.6,2416.8,27307.8
136,29779.6,2415.9,27363.7
137,29903.5,2412.7,27490.8
138,30001.3,2410.2,27591.1
139,30095.1,2405.2,27689.9
140,30138.8,2401.1,27737.7
141,30242.1,2398.1,27844.0
142,30344.8,2397.3,27947.5
143,30415.7,2393.6,28022.1
144,30500.7,2389.5,28111.2
145,30577.3,2386.9,28190.4
146,30634.6,2385.3,28249.3
147,30688.3,2380.6,28307.7
148,30753.7,2379.9,28373.8
149,30832.0,2377.0,28455.0
150,30866.0,2375.2,28490.8
151,30930.6,2373.8,28556.8
152,31031.8,2370.8,28661.0
153,31103.0,2367.3,28735.7
154,31157.1,2360.1,28797.0
155,31195.2,2356.7,28838.5
156,31276.6,2352.7,28923.9
157,31348.8,2351.5,28997.3
158,31397.2,2348.8,29048.4
159,31450.9,2346.0,29104.9
160,31514.1,2344.0,29170.1
161,31627.5,2337.5,29290.0
162,31667.6,2336.0,29331.6
163,31713.8,2334.8,29379.0
164,31779.9,2328.3,29451.6
165,31861.9,2322.9,29539.0
166,31914.5,2312.9,29601.6
167,31992.9,2311.7,29681.2
168,32059.8,2309.8,29750.0
169,32154.0,2305.2,29848.8
170,32211.5,2300.7,29910.8
171,32277.4,2298.9,29978.5
172,32394.7,2296.8,30097.9
173,32435.8,2296.3,30139.5
174,32501.6,2294.6,30207.0
175,32570.4,2293.1,30277.3
176,32646.2,2289.1,30357.1
177,32738.1,2286.5,30451.6
178,32776.4,2284.6,30491.8
179,32822.1,2282.2,30539.9
180,32905.6,2278.3,30627.3
181,32946.3,2276.5,30669.8
182,32999.5,2275.1,30724.4
183,33048.6,2274.2,30774.4
184,33093.1,2273.8,30819.3
185,33155.7,2272.0,30883.7
186,33218.4,2271.2,30947.2
187,33338.4,2270.5,31067.9
188,33401.7,2268.1,31133.6
189,33478.1,2264.9,31213.2
190,33550.3,2263.1,31287.2
191,33599.7,2261.1,31338.6
192,33669.7,2257.8,31411.9
193,33703.2,2257.3,31445.9
194,33828.5,2247.9,31580.6
195,33874.9,2247.2,31627.7
196,33979.2,2245.1,31734.1
197,34070.2,2242.0,31828.2
198,34130.6,2238.3,31892.3
199,34203.5,2235.5,31968.0
200,34252.7,2232.8,32019.9
201,34294.4,2231.0,32063.4
202,34344.4,2228.6,32115.8
203,34411.5,2226.5,32185.0
204,34451.1,2225.1,32226.0
205,34506.7,2223.5,32283.2
206,34558.3,2222.1,32336.2
207,34617.3,2220.6,32396.7
208,34665.3,2216.3,32449.0
209,34754.0,2214.8,32539.2
210,34800.9,2213.5,32587.4
211,34915.7,2211.6,32704.1
212,34985.0,2208.0,32777.0
213,35041.4,2192.8,32848.6
214,35132.0,2191.9,32940.1
215,35185.4,2190.0,32995.4
216,35247.5,2187.0,33060.5
217,35334.5,2182.1,33152.4
218,35390.1,2178.9,33211.2
219,35453.5,2175.4,33278.1
220,35527.2,2174.9,33352.3
221,35601.1,2172.5,33428.6
222,35654.2,2171.4,33482.8
223,35706.5,2170.1,33536.4
224,35736.4,2169.6,33566.8
225,35803.5,2169.1,33634.4
226,35875.8,2167.2,33708.6
227,35925.3,2166.8,33758.5
228,35971.2,2164.6,33806.6
229,36054.0,2160.9,33893.1
230,36105.6,2160.0,33945.6
231,36160.3,2159.9,34000.4
232,36205.3,2158.3,34047.0
233,36253.2,2153.7,34099.5
234,36293.4,2153.4,34140.0
235,36356.0,2150.6,34205.4
236,36412.8,2148.8,34264.0
237,36447.7,2148.5,34299.2
238,36541.6,2146.3,34395.3
239,36594.4,2143.1,34451.3
240,36643.0,2142.6,34500.4
241,36742.1,2139.4,34602.7
242,36796.2,2139.1,34657.1
243,36841.2,2136.2,34705.0
244,36909.5,2134.0,34775.5
245,36938.9,2133.2,34805.7
246,36970.9,2130.0,34840.9
247,37043.8,2127.4,34916.4
248,37077.4,2125.6,34951.8
249,37114.3,2122.9,34991.4
250,37149.1,2121.1,35028.0
251,37196.4,2119.1,35077.3
252,37235.7,2116.3,35119.4
253,37367.1,2108.6,35258.5
254,37446.3,2106.9,35339.4
255,37502.4,2105.5,35396.9
256,37527.1,2105.1,35422.0
257,37561.4,2103.1,35458.3
258,37633.6,2101.8,35531.8
259,37678.5,2098.8,35579.7
260,37817.6,2079.1,35738.5
261,37926.4,2076.8,35849.6
262,37953.9,2076.1,35877.8
263,38004.5,2074.0,35930.5
264,38051.0,2072.3,35978.7
265,38095.8,2066.4,36029.4
266,38130.4,2065.1,36065.3
267,38228.6,2062.7,36165.9
268,38280.0,2061.8,36218.2
269,38317.6,2060.2,36257.4
270,38363.4,2058.2,36305.2
271,38406.5,2056.9,36349.6
272,38447.6,2055.6,36392.0
273,38492.8,2052.4,36440.4
274,38526.0,2047.9,36478.1
275,38573.7,2045.1,36528.6
276,38590.5,2044.6,36545.9
277,38650.0,2043.3,36606.7
278,38688.7,2042.1,36646.6
279,38748.4,2040.1,36708.3
280,38810.7,2038.6,36772.1
281,38890.1,2030.3,36859.8
282,38921.4,2030.0,36891.4
283,38951.2,2028.8,36922.4
284,38985.7,2028.6,36957.1
285,39026.7,2027.3,36999.4
286,39087.3,2026.4,37060.9
287,39149.8,2024.5,37125.3
288,39185.2,2022.3,37162.9
289,39211.2,2019.7,37191.5
290,39241.3,2016.7,37224.6
291,39377.4,2008.8,37368.6
292,39451.4,2005.5,37445.9
293,39501.0,2005.3,37495.7
294,39570.0,2002.5,37567.5
295,39618.7,2001.1,37617.6
296,39651.3,1999.5,37651.8
297,39706.4,1995.6,37710.8
298,39736.5,1993.1,37743.4
299,39768.7,1992.6,37776.1
